asset_class,LS RC,LS Inh,LS Corr,Eq RC,Eq Inh,Eq Corr,RP RC,RP Inh,RP Corr
Commodity,1.1604691118514068,1.0711148855079227,0.08935422634348406,3.8377978848246173,2.9343271835034597,0.9034707013211571,0.24631790644606583,0.23572588577667247,0.010592020669393338
Equity,0.4999527229362486,1.2099265313058716,-0.7099738083696231,1.4321432300364474,0.639738093166003,0.7924051368704443,0.2575096989510955,0.20103954640166705,0.05647015254942846
FX,0.8565950861915235,0.2636069587244637,0.5929881274670596,0.16229703228524503,0.1538933561829369,0.008403676102308133,0.5410800008496208,0.23209095226147322,0.30898904858814763
Fixed Income,2.767065454533073,3.845246212868859,-1.0781807583357856,-0.09392113648276086,0.03973952288517798,-0.13366065936793883,0.29437149877192254,0.21584656261878526,0.07852493615313727
Total,5.284082375512252,6.389894588407117,-1.105812212894865,5.338317010663549,3.7676981557375773,1.5706188549259708,1.3392791050187047,0.8847029470585981,0.4545761579601067
